"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"26","Tabac Presse","Commerce","17","Allée Duguay Trouin","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2126326351651 , -1.55713180563729]"
"27","Tabac Presse Le Voltaire","Commerce","25","Rue Voltaire","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2115072896156 , -1.5669418362997]"
"28","Glup's","Commerce","10","Rue de la Fosse","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2137455319448 , -1.55888773622567]"
"29","Du Vert en Ville","Commerce","23","Rue Racine","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2142601633664 , -1.56527226639288]"
"30","Carrefour City","Commerce","3","Rue Cassini","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2149613500515 , -1.56504320917249]"
"31","Boulangerie","Commerce","4","Allée Duquesne","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.217194173303 , -1.55668673593576]"
"32","Papeterie Pouteau","Commerce","4","Rue de l'Evêché","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.218779776076 , -1.55070593629293]"
"33","Tabac Presse","Commerce","9","Rue de Budapest","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2166599968739 , -1.56003585012774]"
"34","Tabac Presse du Pilori","Commerce","2","Place du Pilori","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2162788431412 , -1.55302017441761]"
"35","Boulangerie La Mie Câline","Commerce","1","Allée Cassard","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2141405199086 , -1.55574826679528]"
"58","Leclerc Paridis","Commerce","","Rue du Perray","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","Vente","","","","","","","","","","","","","","44300","Nantes","[ 47.2494038393733 , -1.5158327811377]"
"59","Piscine Jules Verne","Autre","41","Rue Jules Grandjouan","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","vente_distrib_auto","","","","","","","","","","","","","","44300","Nantes","[ 47.2482207763996 , -1.51760995390533]"
"123","Intermarché","Commerce","20","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","Vente","","","","","","","","","","","","","","44000","Nantes","[ 47.2241361571251 , -1.55092389659956]"
"122","Super U Dalby","Commerce","66","Boulevard Dalby","Malakoff - Saint-Donatien","Saint-Donatien","Vente","","","","","","","","","","","","","","44000","Nantes","[ 47.2237968372807 , -1.53051590692239]"
"74","Marché de Talensac","Marché","","Rue de Talensac","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","vente_distrib_auto","","","","","","","","","","","","","","44000","Nantes","[ 47.2209513930215 , -1.55717213803952]"
"2","Mairie annexe Chantenay","Mairie annexe","1","Place de la Liberté","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","vente_distrib_auto","","","","","","","","","","","","","","44100","Nantes","[ 47.2067921189674 , -1.58852593613262]"
"93","Piscine Petite Amazonie","Autre","15","Rue du Pont de l'Arche de Mauves","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","vente_distrib_auto","","","","","","","","","","","","","","44000","Nantes","[ 47.2165885207839 , -1.53188966213418]"
"1","Comptoir du tri","Service communautaire","6","Allée Brancas","Centre Ville","","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2138099928016 , -1.55624670850238]"
"14","Place de la Liberté (Face à la mairie annexe Chantenay)","","","Place de la Liberté","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","RDV","12/01/2015","14:30","19:00","18/05/2015","14:30","19:00","28/09/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2067589115724 , -1.5878950804801]"
"10","Place des Garennes","","","Place des Garennes","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","RDV","14/01/2015","14:30","19:00","20/05/2015","14:30","19:00","30/09/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2017006961536 , -1.57775516968493]"
"11","Rue Lucien Aubert (Groupe scolaire Jean Zay)","","","Rue Lucien Aubert","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","RDV","15/01/2015","14:30","19:00","21/05/2015","14:30","19:00","01/10/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2085657577645 , -1.60694146844681]"
"12","Rue des Bourderies (Centre Socioculturel Bourderies)","","12","Rue des Bourderies","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","RDV","16/01/2015","14:30","19:00","22/05/2015","14:30","19:00","02/10/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2067125842139 , -1.59582342337165]"
"13","Quai de la Fosse (Musée bateau Maille-Brézé)","","","Quai de la Fosse","Dervallières - Zola","Bellevue /Chantenay","RDV","17/01/2015","09:00","13:00","23/05/2015","09:00","13:00","03/10/2015","09:00","13:00","","","","","44100","Nantes","[ 47.2070549676964 , -1.57198669874414]"
"9","Pôle de proximité Nantes Ouest","Pôle de proximité","","Place de la Liberté","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2063988575343 , -1.58837747268542]"
"3","Café la butte","Commerce","2","Rue des Garennes","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2021494514881 , -1.57888269715684]"
"4","Bar Tabac l'Hebdo","Commerce","91","Quai de la Fosse","Dervallières - Zola","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2081780689394 , -1.57036210485663]"
"5","Mairie Annexe Bellevue","Mairie annexe","4","Place des Lauriers","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2042621533403 , -1.60538731999842]"
"6","Nantes Habitat Agence Jamet","Organisme HLM","52","Rue du Plessis Gautron","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2058151486922 , -1.60553954159112]"
"7","Epicerie Aux 4 saisons","Commerce","36","Boulevard Winston Churchill","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2083771057784 , -1.61118585622081]"
"8","Boulangerie Tijou","Commerce","25","Rue des Bourderies","Bellevue - Chantenay - Sainte Anne","Bellevue /Chantenay","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2063482878462 , -1.59703381329224]"
"21","Face au 47 Rue Georges Mélies","","47","Rue Georges Mélies","Breil - Barberie","Breil/Dervallières","RDV","16/03/2015","14:30","19:00","31/08/2015","14:30","19:00","30/11/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2332091642992 , -1.58579021535481]"
"19","Pôle commercial Coubertin","","52","Boulevard Pierre de Coubertin","Breil - Barberie","Breil/Dervallières","RDV","18/03/2015","14:30","19:00","02/09/2015","14:30","19:00","02/12/2015","14:30","19:00","","","","","44100","Nantes","[ 47.2285238429887 , -1.58713886334568]"
"20","Place des Dervallières","","","Place des Dervallières","Dervallières - Zola","Breil/Dervallières","RDV","21/03/2015","09:00","13:00","05/09/2015","09:00","13:00","05/12/2015","09:00","13:00","","","","","44100","Nantes","[ 47.2242121712555 , -1.59771687336643]"
"18","Carrefour City","Commerce","52","Boulevard Pierre de Coubertin","Breil - Barberie","Breil/Dervallières","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2282171425353 , -1.58675128841355]"
"15","Nantes Habitat Agence Feyder","Organisme HLM","6","Rue Jacques Feyder","Breil - Barberie","Breil/Dervallières","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2300901812523 , -1.58565548755988]"
"16","Mairie Annexe Dervallières","Mairie annexe","1","Place des Dervallières","Dervallières - Zola","Breil/Dervallières","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.2233810693424 , -1.59718468248522]"
"17","Nantes Habitat Agence Watteau","Organisme HLM","20","Rue Antoine Watteau","Dervallières - Zola","Breil/Dervallières","PDIS","","","","","","","","","","","","","","44100","Nantes","[ 47.222574134576 , -1.60102274099936]"
"73","Place Emile Fritsch (Devant l'église Saint-Pasquier)","","","Place Emile Fritsch","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","23/03/2015","14:30","19:00","07/09/2015","14:30","19:00","07/12/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2288980938558 , -1.56577469386022]"
"68","Angle Rue des Dervallières/Rue Octave Feuillet","","","Rue Octave Feuillet","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","24/03/2015","14:30","19:00","08/09/2015","14:30","19:00","08/12/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2205952970888 , -1.57339371320505]"
"69","Place de Talensac","","","Rue de Talensac","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","25/03/2015","14:30","19:00","09/09/2015","14:30","19:00","09/12/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2210157384752 , -1.55685571664186]"
"70","TRAM Saint-Mihiel","","","Quai de Versailles","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","26/06/2015","14:30","19:00","10/09/2015","14:30","19:00","10/12/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2245848205917 , -1.55383600362569]"
