"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0057","Avenue de l'Aigue Marine","NANTES","Marine","PRIVEE","NANTES Avenue Sagamore","NANTES Avenue Sagamore","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"5392","Rue des Marins","NANTES","Marins","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue des Cap-Horniers","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2713","Rue Edme Mariotte","NANTES","Mariotte","PRIVEE","NANTES Route de Saint Joseph","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"5396","Rue Marivaux","NANTES","Marivaux","PUBLIQUE","NANTES Place Paul Emile Ladmirault","NANTES Rue Lesage","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"5400","Impasse Marmontel","NANTES","Marmontel","PRIVEE","NANTES Rue des Olivettes","Impasse","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5404","Rue Marmontel","NANTES","Marmontel","PUBLIQUE","NANTES Chaussée de la Madeleine","NANTES Rue des Olivettes","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5408","Rue de la Marne","NANTES","Marne","PUBLIQUE","NANTES Place du Pilori","NANTES Place du Change","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5409","Rue du Maroc","NANTES","Maroc","PRIVEE","ORVAULT Route de Rennes","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1964","Rue Clément Marot","NANTES","Marot","PUBLIQUE","NANTES Rue de la Fantaisie","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"3076","Rue Félix Marquet","NANTES","Marquet","PUBLIQUE","NANTES Rue François Bonamy","NANTES Rue de Jussieu","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"4278","Allée des Iles Marquises","NANTES","Marquises","PRIVEE","NANTES Avenue de Tahiti","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"1566","Impasse du Chalet de la Marrière","NANTES","Marrière","PRIVEE","NANTES Rue Camille Desmoulins","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"4057","Impasse Haute de la Marrière","NANTES","Marrière","PRIVEE","NANTES Rue Camille Desmoulins","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"5417","Rue de la Marrière","NANTES","Marrière","PUBLIQUE","NANTES Boulevard des Poilus","NANTES Rue du Croissant","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"1577","Cours du Champ de Mars","NANTES","Mars","Inconnu","NANTES Rue de la Biscuiterie","NANTES Rue de Valmy","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5420","Rue des Marsauderies","NANTES","Marsauderies","PUBLIQUE","NANTES Boulevard Jules Verne","NANTES Chemin des Sourdes","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"5424","Rue de la Marseillaise","NANTES","Marseillaise","PUBLIQUE","NANTES Boulevard de la Liberté","NANTES Rue du Bois Hercé","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"7600","Rue Sainte Marthe","NANTES","Marthe","PUBLIQUE","NANTES Rue Saint Gohard","NANTES Rue Diderot","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"7684","Avenue Saint Martin","NANTES","Martin","PRIVEE","NANTES Rue de la Croix","NANTES Rue des Granits","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0460","Impasse Augustin Martin","NANTES","Martin","PUBLIQUE","NANTES Rue de la Trémissinière","Impasse","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"5433","Rue de la Martinière","NANTES","Martinière","PUBLIQUE","NANTES Rue Georges Bizot","NANTES Boulevard Jean XXIII","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"5434","Allée de la Martinique","NANTES","Martinique","PRIVEE","NANTES Avenue de Tahiti","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"5431","Impasse des Martins Pêcheurs","NANTES","Martins Pêcheurs","Inconnu","VERTOU Chemin Creux de la Filée","Impasse","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"5436","Place du Martray","NANTES","Martray","PUBLIQUE","NANTES Allée Docteur Emile Meeus","NANTES Rue Sarrazin","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5444","Rue des Martyrs","NANTES","Martyrs","PUBLIQUE","NANTES Rue Colonel Desgrées du Lou","NANTES Rue Bouchaud","TRI'SAC","bacs","pluriel","jusqu'aux numéros 13 et 14","mardi et vendredi","","","Dervallières - Zola",""
"5444","Rue des Martyrs","NANTES","Martyrs","PUBLIQUE","NANTES Rue Colonel Desgrées du Lou","NANTES Rue Bouchaud","bacs bleus et bacs jaunes","bacs","pluriel","à partir des numéros 13B et 16","mardi","mercredi","","Dervallières - Zola",""
"5450","Avenue de Marvejols","NANTES","Marvejols","PRIVEE","NANTES Rue de Pessac","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"5394","Rue Marie Marvingt","NANTES","Marvingt","PRIVEE","","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"5452","Rue de Maryland","NANTES","Maryland","PUBLIQUE","NANTES Boulevard de Stalingrad","NANTES Cour Jules Durand","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"5460","Rue de la Marzelle de Grillaud","NANTES","Marzelle","PUBLIQUE","NANTES Boulevard de la Fraternité","NANTES Place Vincent Auriol","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"5464","Rue de Mascara","NANTES","Mascara","PUBLIQUE","NANTES Place du Sanitat","NANTES Rue Dobrée","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"1625","Boulevard du Massacre","ST-HERBLAIN","Massacre","PUBLIQUE","ST-HERBLAIN Route de Vannes","NANTES Rond-Point Abel Durand","TRI'SAC","bacs","pluriel","numéros impairs (pairs = st herblain)","lundi et jeudi","","","pluriel","jusqu'au numero 119 : Breil - Barberie ; à partir du numero 145 : Dervallières - Zola"
"5472","Cour Massé","NANTES","Massé","PRIVEE","NANTES Rue des Olivettes","","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5476","Avenue Masséna","NANTES","Masséna","PRIVEE","NANTES Rue Gambetta","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"5480","Rue Massenet","NANTES","Massenet","PUBLIQUE","NANTES Rue Léon Jost","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"5484","Rue Massillon","NANTES","Massillon","PUBLIQUE","NANTES Place Eugène Livet","NANTES Rue Désiré Colombe","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"5485","Rue Emile Masson","NANTES","Masson","PUBLIQUE","NANTES Rue Monteil","NANTES Rue Fouré","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2608","Rue Dugast Matifeux","NANTES","Matifeux","PUBLIQUE","NANTES Rue Maréchal Joffre","NANTES Rue Gambetta","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Malakoff - Saint-Donatien",""
"2786","Avenue Emile Matignon","NANTES","Matignon","PRIVEE","NANTES Rue des Hauts Pavés","NANTES Rue de la Mélinière","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1927","Impasse du Clair Matin","NANTES","Matin","PRIVEE","NANTES Avenue de l'Aven","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"4151","Rue Henri Matisse","NANTES","Matisse","PUBLIQUE","NANTES Boulevard Jean Ingres","NANTES Rue Honoré Daumier","bacs bleus et bacs jaunes","bacs","pluriel","numéros 1-5-7","vendredi","mercredi","","Dervallières - Zola",""
"4151","Rue Henri Matisse","NANTES","Matisse","PUBLIQUE","NANTES Boulevard Jean Ingres","NANTES Rue Honoré Daumier","TRI'SAC","bacs","pluriel","numéros 3 et 8","lundi et jeudi","","","Dervallières - Zola",""
"5544","Rue Maxime Maufra","NANTES","Maufra","PUBLIQUE","NANTES Place Saint Clair","NANTES Rue Etienne Dolet","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"3314","Rue François Mauriac","NANTES","Mauriac","PUBLIQUE","NANTES Rue de l'Hippodrome","NANTES Avenue des Violons","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"7378","Quai de Roche Maurice","NANTES","Maurice","Inconnu","NANTES Rue des Usines","NANTES Route de Roche Maurice","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"7380","Route de Roche Maurice","NANTES","Maurice","PUBLIQUE","NANTES Rue des Usines","ST-HERBLAIN Quai Emile Cormerais","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4868","Rue Leglas Maurice","NANTES","Maurice","PUBLIQUE","NANTES Rue Ameline","NANTES Rue François Bruneau","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"4290","Allée du Seil de Mauves","NANTES","Mauves","PUBLIQUE","NANTES Mail Pablo Picasso","NANTES Rue du Cher","TRI'SAC","bacs","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"6913","Boulevard de la Prairie de Mauves","NANTES","Mauves","PUBLIQUE","NANTES Boulevard de Seattle","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"6758","Rue du Pont de l'Arche de Mauves","NANTES","Mauves","PUBLIQUE","NANTES Boulevard de Berlin","NANTES Boulevard Ernest Dalby","TRI'SAC","bacs","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"5540","Rue Mauvoisins","NANTES","Mauvoisins","PUBLIQUE","ST-SEBASTIEN Route de Clisson","NANTES Route de Vertou","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"5556","Rue de Mayence","NANTES","Mayence","PUBLIQUE","NANTES Rue de Jemmapes","NANTES Rue de Rieux","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5560","Rue de Mazagran","NANTES","Mazagran","PUBLIQUE","NANTES Place Commandant Jean l'Herminier","NANTES Place du Sanitat","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"5561","Place de la Médaille Militaire","NANTES","Médaille","PUBLIQUE","NANTES Rue Gambetta","NANTES Rue Frédéric Cailliaud","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"7688","Rue Saint Médard","NANTES","Médard","PUBLIQUE","NANTES Rue Sébastien Vaillant","NANTES Rue de la Papotière","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"5575","Impasse de la Mée","NANTES","Mée","PRIVEE","NANTES Rue de Coetquelfen","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"2505","Allée Docteur Emile Meeus","NANTES","Meeus","PUBLIQUE","NANTES Place du Martray","NANTES Rue du Trépied","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5380","Rue Marguerite Le Meignen","NANTES","Meignen","PUBLIQUE","NANTES Rue Francis de Pressensé","NANTES Rue Pierre et Marie Curie","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"5573","Impasse de la Meilleraye","NANTES","Meilleraye","PRIVEE","NANTES Rue de l'Abbaye","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2886","Rue Ernest Meissonnier","NANTES","Meissonnier","PUBLIQUE","NANTES Rue Auguste Renoir","NANTES Rue Jean Marc Nattier","TRI'SAC","colonnes","unique","","","","","Dervallières - Zola",""
"5124","Rue Louis Mékarski","NANTES","Mékarski","PUBLIQUE","NANTES Rue Stéphenson","NANTES Boulevard Ernest Dalby","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"7689","Avenue Saint Mélaine","NANTES","Mélaine","PRIVEE","NANTES Rue du Bois","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"3680","Rue Georges Méliès","NANTES","Méliès","PUBLIQUE","NANTES Rue Chanoine Larose","ST-HERBLAIN Avenue des Plantes","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"4630","Rue Jules Méline","NANTES","Méline","PUBLIQUE","NANTES Boulevard Professeur René Auvigné","NANTES Boulevard Professeur René Auvigné","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"5576","Rue de la Mélinière","NANTES","Mélinière","PUBLIQUE","NANTES Rue Paul Painlevé","NANTES Boulevard des Anglais","TRI'SAC","bacs","pluriel","Tous sauf les numéros 2 et 4","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5576","Rue de la Mélinière","NANTES","Mélinière","PUBLIQUE","NANTES Rue Paul Painlevé","NANTES Boulevard des Anglais","TRI'SAC","bacs","pluriel","seulement les numéros 2 et 4","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5580","Rue Mellier","NANTES","Mellier","PUBLIQUE","NANTES Place Général Mellinet","NANTES Avenue Docteur Touaille","TRI'SAC","bacs","pluriel","jusqu'aux numeros 21 et 28","mardi et vendredi","","","Dervallières - Zola",""
"5580","Rue Mellier","NANTES","Mellier","PUBLIQUE","NANTES Place Général Mellinet","NANTES Avenue Docteur Touaille","bacs bleus et bacs jaunes","bacs","pluriel","à partir des numeros 23 et 30","mardi","mercredi","","Dervallières - Zola",""
"1385","Esplanade Camille Mellinet","NANTES","Mellinet","PUBLIQUE","NANTES Rue de l'Héronnière","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"3616","Place Général Mellinet","NANTES","Mellinet","PUBLIQUE","NANTES Boulevard de Launay","NANTES Boulevard Allard","TRI'SAC","bacs","unique","","mardi et vendredi","","","Dervallières - Zola",""
"5582","Avenue des Melodies","NANTES","Melodies","PRIVEE","NANTES Avenue des Préludes","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"5574","Avenue Mélusine","NANTES","Mélusine","PRIVEE","NANTES Rue du Petit Bel Air","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"4617","Rue Jules Cottin de Melville","NANTES","Melville","PUBLIQUE","NANTES Rue Sébastien Vaillant","NANTES Rue de la Noë Garreau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0212","Avenue Amédée Ménard","NANTES","Ménard","MIXTE","NANTES Boulevard Henry Orrion","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"3080","Rue Félix Ménétrier","NANTES","Ménétrier","PUBLIQUE","NANTES Boulevard Jules Verne","NANTES Rue Urbain Le Verrier","TRI'SAC","bacs","pluriel","à partir des numéros 53 et 54","mardi et vendredi","","","Doulon - Bottière",""
"3080","Rue Félix Ménétrier","NANTES","Ménétrier","PUBLIQUE","NANTES Boulevard Jules Verne","NANTES Rue Urbain Le Verrier","bacs bleus et bacs jaunes","bacs","pluriel","jusqu'aux numéros 47 et 48","vendredi","mercredi","","Doulon - Bottière",""
"6141","Rue du Parc Menier","NANTES","Menier","PUBLIQUE","NANTES Boulevard Bâtonnier Cholet","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4493","Rue Jean Marie de la Mennais","NANTES","Mennais","PUBLIQUE","NANTES Rue du Moulin de l'Abbaye","NANTES Rue des Bourderies","TRI'SAC","bacs","unique","","mardi et vendredi","","","Bellevue - Chantenay - Sainte Anne",""
"0447","Rue Auguste Ménoret","NANTES","Ménoret","PUBLIQUE","NANTES Rue Francis Portais","NANTES Boulevard Emile Romanet","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"5588","Rue Menou","NANTES","Menou","PUBLIQUE","NANTES Place Viarme","NANTES Place Edouard Normand","TRI'SAC","bacs","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"5590","Impasse du Menuet","NANTES","Menuet","PRIVEE","NANTES Rue Geoffroy","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"5593","Avenue des Menures","NANTES","Menures","PRIVEE","NANTES Rue du Fresche Blanc","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"2943","Avenue de l'Etoile de Mer","NANTES","Mer","PRIVEE","NANTES Route de Sainte Luce","NANTES Avenue des Iris","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"5592","Rue Mercoeur","NANTES","Mercoeur","PUBLIQUE","NANTES Rue de Budapest","NANTES Rue Jean Jaurès","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2104","Rue Conan Mériadec","NANTES","Mériadec","PUBLIQUE","NANTES Quai Hoche","NANTES Boulevard Babin Chevaye","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"7028","Rue Prosper Mérimée","NANTES","Mérimée","PUBLIQUE","NANTES Rue Blaise Pascal","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"5594","Rue des Merisiers","NANTES","Merisiers","Inconnu","NANTES Rue de la Fontaine Caron","NANTES Rue des Mûriers Sauvages","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"3288","Rue Francis Merlant","NANTES","Merlant","PUBLIQUE","NANTES Rue des Dervallières","NANTES Rue George Sand","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"4497","Rue Jean Mermoz","NANTES","Mermoz","PUBLIQUE","NANTES Rue de la Patouillerie","ORVAULT Rue des Mimosas","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"5160","Boulevard Luc Olivier Merson","NANTES","Merson","PUBLIQUE","NANTES Place Anatole France","NANTES Boulevard Auguste Pageot","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5596","Avenue des Mésanges","NANTES","Mésanges","PRIVEE","NANTES Rue Emile Souvestre","NANTES Rue Claude Debussy","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0280","Rue André Messager","NANTES","Messager","PUBLIQUE","NANTES Rue Gabriel Faure","NANTES Rue des Fromenteaux","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"5600","Rue Méssidor","NANTES","Méssidor","PUBLIQUE","NANTES Rue de la Perverie","NANTES Rue de la Potonnerie","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"5604","Rue de la Méthode","NANTES","Méthode","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Boulevard Boulay Paty","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"5608","Rue de Metz","NANTES","Metz","PUBLIQUE","NANTES Rue Félix Ménétrier","NANTES Rue de Toul","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"5614","Rue Metzinger","NANTES","Metzinger","PUBLIQUE","NANTES Rue Abbé de l'Epée","NANTES Rue de la Montagne","TRI'SAC","bacs","unique","","mardi et vendredi","","","Dervallières - Zola",""
"5616","Rue Meuris","NANTES","Meuris","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","TRI'SAC","bacs","unique","","lundi et jeudi","","","Dervallières - Zola",""
"3620","Rue Général Meusnier","NANTES","Meusnier","PUBLIQUE","NANTES Rue Mercoeur","NANTES Place Aristide Briand","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3678","Rue Georges le Mevel","NANTES","Mevel","PUBLIQUE","NANTES Route de Clisson","NANTES Rue Mauvoisins","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"3686","Rue Georges Meynieu","NANTES","Meynieu","PUBLIQUE","NANTES Rue Massenet","","bacs bleus et bacs jaunes","bacs","pluriel","tous les numéros sauf 16-38-40-42","mardi","mercredi","","Breil - Barberie",""
"3686","Rue Georges Meynieu","NANTES","Meynieu","PUBLIQUE","NANTES Rue Massenet","","TRI'SAC","bacs","pluriel","les numéros 16-38-40-42","lundi et jeudi","","","Breil - Barberie",""
"5624","Avenue Mich","NANTES","Mich","PRIVEE","NANTES Rue Gambetta","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"5631","Rue de la Michaudière","NANTES","Michaudière","PUBLIQUE","NANTES Rue de la Marrière","NANTES Boulevard Jules Verne","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"5785","Avenue du Mont Saint Michel","NANTES","Michel","PRIVEE","NANTES Avenue du Cap Fréhel","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"7692","Avenue Saint Michel","NANTES","Michel","PRIVEE","NANTES Boulevard Joliot Curie","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"3512","Rue Gaston Michel","NANTES","Michel","PUBLIQUE","NANTES Rue Deurbroucq","NANTES Quai de la Fosse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Centre Ville",""
"5086","Rue Louise Michel","NANTES","Michel","PUBLIQUE","NANTES Boulevard de la Beaujoire","NANTES Rue du Millau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"5321","Rue Marcel et Marie Michel","NANTES","Michel","PUBLIQUE","NANTES Rue Auguste et Marie Chauvin","NANTES Rue Claude et Simone Millot","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"5636","Boulevard Michelet","NANTES","Michelet","PUBLIQUE","NANTES Boulevard Amiral Courbet","NANTES Boulevard Gabriel Lauriol","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5647","Rue des Micocouliers","NANTES","Micocouliers","Inconnu","NANTES Rue de la Fontaine Caron","NANTES Rue de la Fontaine Caron","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"5648","Avenue du Midi","NANTES","Midi","PUBLIQUE","NANTES Rue Littré","NANTES Chemin des Rivières","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"1847","Rue du Cherche Midi","NANTES","Midi","Inconnu","NANTES Allée Alain Gerbault","NANTES Quai Dumont d'Urville","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"7696","Rue Saint Mihiel","NANTES","Mihiel","PUBLIQUE","NANTES Boulevard Robert Schuman","NANTES Rue Hector Berlioz","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"6050","Allée de l'Orée du Millau","NANTES","Millau","PUBLIQUE","NANTES Boulevard de la Beaujoire","NANTES Rue du Millau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"5652","Rue du Millau","NANTES","Millau","PUBLIQUE","NANTES Route de Carquefou","NANTES Route de Saint Joseph","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"5655","Rue des Millepertuis","NANTES","Millepertuis","Inconnu","NANTES Avenue Bon Accueil","NANTES Rue du Bois Robillard","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0098","Boulevard Alexandre Millerand","NANTES","Millerand","Inconnu","NANTES Boulevard Maurice Bertin","NANTES Boulevard François Blancho","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"5656","Avenue Millet","NANTES","Millet","PUBLIQUE","NANTES Rue Edmond Rostand","NANTES Rue du Gué Robert","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"5128","Boulevard Louis Millet","NANTES","Millet","PUBLIQUE","NANTES Place Gabriel Trarieux","NANTES Rue des Forges","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"5658","Avenue de la Milletière","NANTES","Milletière","PRIVEE","","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"1933","Rue Claude et Simone Millot","NANTES","Millot","PUBLIQUE","NANTES Route de Carquefou","NANTES Boulevard de la Beaujoire","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"5662","Avenue des Mimosas","NANTES","Mimosas","Inconnu","ORVAULT Avenue Jean Chiappe","ST-HERBLAIN Route de Vannes","TRI'SAC","bacs","pluriel","numéros pairs (impairs =orvault)","lundi et jeudi","","","Breil - Barberie",""
"5664","Rue Minatte","NANTES","Minatte","MIXTE","NANTES Rue Francis de Pressensé","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"5663","Rue de Mindin","NANTES","Mindin","PUBLIQUE","NANTES Rue de Saint Brévin","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Bellevue - Chantenay - Sainte Anne",""
"5665","Avenue de la Minerve","NANTES","Minerve","PRIVEE","NANTES Rue Léon Jost","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"0239","Rue Amiral Jean Minot","NANTES","Minot","PUBLIQUE","NANTES Rue des Courtils","NANTES Rue André Hougron","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4888","Impasse le Mintier","NANTES","Mintier","PRIVEE","NANTES Rue du Corps de Garde","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"5668","Rue Mirabeau","NANTES","Mirabeau","PRIVEE","NANTES Place Victor Basch","NANTES Rue Sergent Bobillot","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"5672","Rue de Miribel","NANTES","Miribel","PUBLIQUE","NANTES Rue Frédéric Ozanam","NANTES Rue de Préaulx","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"5680","Rue de Miséricorde","NANTES","Miséricorde","PUBLIQUE","NANTES Rue Félibien","NANTES Rue Charles Monselet","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
