"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"818","verre","0.0",""," ","Rue de la Hautière","Hautière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2959788282597 , -1.55861663651635]"
"819","verre","0.0",""," ","Avenue du Premier Mai","Premier","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2937320898586 , -1.55204788561939]"
"820","verre","0.0",""," ","Avenue de la Gandonnière","Gandonnière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3069775460023 , -1.54003501397757]"
"821","verre","0.0","Atelier Municipal Aulnay"," ","Rue Charles Nungesser","Nungesser","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3040571398343 , -1.54823929915505]"
"822","verre","0.0",""," ","Chemin de la Hergrenière","Hergrenière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3058423076999 , -1.55209946639924]"
"823","verre","0.0",""," ","Rue de la Rivière","Rivière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3050557390973 , -1.55584384876732]"
"824","verre","0.0",""," ","Rue de l'Aven","Aven","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3063416718157 , -1.55981359200602]"
"825","verre","0.0",""," ","Allée de la Coutancière","Coutancière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3088900887878 , -1.56125865586292]"
"826","verre","0.0",""," ","Rue de la Haie","Haie","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2901124754702 , -1.5427214260597]"
"827","verre","0.0",""," ","Chemin de Kerbihan","Kerbihan","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2885448595092 , -1.538335573883]"
"828","verre","0.0",""," ","Rue de Bretagne","Bretagne","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.283490623762 , -1.54258048701043]"
"829","verre","0.0",""," ","Allée des Muriers","Muriers","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2812592171335 , -1.53768155103064]"
"830","verre","0.0",""," ","Boulevard du Gesvres","Gesvres","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2682669841159 , -1.55298814608736]"
"831","verre","0.0",""," ","Boulevard de l'Hopitau","Hopitau","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2694538306904 , -1.55215579425924]"
"832","verre","0.0",""," ","Boulevard Jacques Demy","Demy","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2692111687341 , -1.55001726908717]"
"833","verre","0.0",""," ","Rue des Besneries","Besneries","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2676673856571 , -1.54496306016888]"
"834","verre","0.0",""," ","Avenue des Cotterets","Cotterets","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2665589252418 , -1.54901648742081]"
"835","verre","0.0",""," ","Avenue des Cinq Fleurs","Cinq","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.264505076008 , -1.54875354306512]"
"836","verre","0.0",""," ","Chemin de Roche Blanche","Roche","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2797782890626 , -1.55712523846292]"
"837","verre","0.0",""," ","Rue Maurice Ravel","Ravel","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2876444064563 , -1.55705834657359]"
"838","verre","0.0",""," ","Rue de la Blanchetière","Blanchetière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2890823138849 , -1.55330952847668]"
"839","verre","0.0",""," ","Rue du Fer à Cheval","Fer","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3334571774618 , -1.56954807399271]"
"840","verre","0.0",""," ","Rue du Pont de Forge","Pont","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2903422162191 , -1.58502251358202]"
"841","verre","0.0",""," ","Route d'Orvault","Orvault","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2833578677648 , -1.5840976053852]"
"842","verre","0.0",""," ","Rue de la Vrière","Vrière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2825051126348 , -1.55132207810304]"
"843","verre","0.0",""," ","Avenue des Argonautes","Argonautes","440026","44470","Carquefou","","Erdre et Loire","[ 47.296729712976 , -1.48590257799766]"
"844","verre","0.0",""," ","Avenue des Argonautes","Argonautes","440026","44470","Carquefou","","Erdre et Loire","[ 47.2967239147466 , -1.48592188039404]"
"845","verre","0.0",""," ","Passage Orphée","Orphée","440026","44470","Carquefou","","Erdre et Loire","[ 47.298020936784 , -1.48099425589008]"
"846","verre","0.0",""," ","Rue Andre Lenôtre","Lenôtre","440026","44470","Carquefou","","Erdre et Loire","[ 47.293679986161 , -1.49482511741342]"
"847","verre","0.0",""," ","Place de la Libération","Libération","440026","44470","Carquefou","","Erdre et Loire","[ 47.2956854511352 , -1.49150935640717]"
"848","verre","0.0",""," ","Rue François René De Chateaubriand","Chateaubriand","440026","44470","Carquefou","","Erdre et Loire","[ 47.3015384954553 , -1.48772551254115]"
"849","verre","0.0",""," ","Rue François René De Chateaubriand","Chateaubriand","440026","44470","Carquefou","","Erdre et Loire","[ 47.3015534581151 , -1.4877098980906]"
"850","verre","0.0",""," ","Rue Pierre Mendes France","Mendes","440026","44470","Carquefou","","Erdre et Loire","[ 47.3019076855757 , -1.49215233429901]"
"851","verre","0.0",""," ","Rue de la Jumelière","Jumelière","440026","44470","Carquefou","","Erdre et Loire","[ 47.2942574598731 , -1.48711800659311]"
"852","verre","0.0",""," ","Avenue Fragonard","Fragonard","440026","44470","Carquefou","","Erdre et Loire","[ 47.286760031285 , -1.50539448887915]"
"853","verre","0.0",""," ","Boulevard du Chêne Vert","Chêne","440026","44470","Carquefou","","Erdre et Loire","[ 47.2771026350532 , -1.50398171590941]"
"854","verre","0.0",""," ","Place des Tennis","Tennis","440026","44470","Carquefou","","Erdre et Loire","[ 47.2812503508437 , -1.49818730613985]"
"855","verre","0.0",""," ","Place des Tennis","Tennis","440026","44470","Carquefou","","Erdre et Loire","[ 47.2812657151331 , -1.49822176656002]"
"856","verre","0.0",""," ","Avenue du Bernier","Bernier","440026","44470","Carquefou","","Erdre et Loire","[ 47.2828952316048 , -1.5017216091702]"
"857","verre","0.0",""," ","Avenue du Professeur Jean Rouxel","Rouxel","440026","44470","Carquefou","","Erdre et Loire","[ 47.2983156040513 , -1.5022286621571]"
"858","verre","0.0",""," ","Rue Francois Fresneau","Fresneau","440026","44470","Carquefou","","Erdre et Loire","[ 47.2972102523091 , -1.50530710517725]"
"859","verre","0.0",""," ","Avenue du Professeur Jean Rouxel","Rouxel","440026","44470","Carquefou","","Erdre et Loire","[ 47.2996189118934 , -1.50811651061596]"
"860","verre","0.0",""," ","Allée des Renaudières","Renaudières","440026","44470","Carquefou","","Erdre et Loire","[ 47.2997224505036 , -1.50159408399934]"
"861","verre","0.0",""," ","Chemin de Rideau","Rideau","440026","44470","Carquefou","","Erdre et Loire","[ 47.3211170437605 , -1.43422557163526]"
"862","verre","0.0",""," ","Rue des Lilas","Lilas","440026","44470","Carquefou","","Erdre et Loire","[ 47.2763117943875 , -1.48410142706021]"
"863","verre","0.0",""," ","Avenue de l'Arquebusier","Arquebusier","440026","44470","Carquefou","","Erdre et Loire","[ 47.2770805121985 , -1.48656249714179]"
"864","verre","0.0","Stade de la Tournière"," ","Chemin des Pâtureaux","Pâtureaux","440026","44470","Carquefou","","Erdre et Loire","[ 47.3191743613248 , -1.46951307663497]"
"865","verre","0.0",""," ","Rue de l'Erdre","Erdre","440026","44470","Carquefou","","Erdre et Loire","[ 47.3032115333781 , -1.49741837907979]"
"866","verre","0.0",""," ","Boulevard de l'Epinay","Epinay","440026","44470","Carquefou","","Erdre et Loire","[ 47.2853303923315 , -1.48573935288085]"
"867","verre","0.0",""," ","Chemin de la Picaudière","Picaudière","440026","44470","Carquefou","","Erdre et Loire","[ 47.2860564586218 , -1.48001227833593]"
"868","verre","0.0",""," ","Chemin de la Gayonnais","Gayonnais","440026","44470","Carquefou","","Erdre et Loire","[ 47.2851491663985 , -1.47249454106766]"
"869","verre","0.0",""," ","Impasse des Alizés","Alizés","440026","44470","Carquefou","","Erdre et Loire","[ 47.2679503790686 , -1.48698287152847]"
"870","verre","0.0",""," ","Rue de Bel Air","Bel","440026","44470","Carquefou","","Erdre et Loire","[ 47.2640672642239 , -1.49268646927937]"
"871","verre","0.0",""," ","Allée des Sapins","Sapins","440026","44470","Carquefou","","Erdre et Loire","[ 47.2833644195002 , -1.45459170097784]"
"872","verre","0.0",""," ","Rue Antarès","Antarès","440026","44470","Carquefou","","Erdre et Loire","[ 47.2858257566015 , -1.44860378600561]"
"873","verre","0.0",""," ","Impasse Betelgeuse","Betelgeuse","440026","44470","Carquefou","","Erdre et Loire","[ 47.2810035224112 , -1.45801772053521]"
"874","verre","0.0",""," ","Rue de l'Hôtellerie","Hôtellerie","440026","44470","Carquefou","","Erdre et Loire","[ 47.2687555685361 , -1.48476052360322]"
"875","verre","0.0",""," ","Impasse de Vieilleville","Vieilleville","440026","44470","Carquefou","","Erdre et Loire","[ 47.2925058006153 , -1.47493888604063]"
"876","verre","0.0",""," ","Boulevard Ampère","Ampère","440026","44470","Carquefou","","Erdre et Loire","[ 47.3026193401207 , -1.50356327738578]"
"877","verre","4.0",""," ","Rue de Carquefou","Carquefou","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2728213861607 , -1.44585171653601]"
"878","verre","4.0",""," ","Rue de la Maurienne","Maurienne","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2755608929997 , -1.43866534806999]"
"879","verre","4.0",""," ","Rue de la Baudinière","Baudinière","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2850313379505 , -1.44463537593633]"
"880","verre","4.0",""," ","Avenue du Parc des Sports","Parc","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2625234363141 , -1.45178022043319]"
"881","verre","4.0",""," ","Avenue du Parc des Sports","Parc","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2625415322246 , -1.45176331405221]"
"882","verre","4.0",""," ","Chemin de la Noë","Noë","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.265709463367 , -1.43976293371094]"
"883","verre","0.0",""," ","Boulevard Louis Pasteur","Pasteur","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2590313710729 , -1.49139675820512]"
"884","verre","0.0",""," ","Rue de la Cadoire","Cadoire","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2566700670697 , -1.48811322510658]"
"885","verre","0.0",""," ","Rue de la Cadoire","Cadoire","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2566660264236 , -1.48814173198437]"
"886","verre","0.0",""," ","Place André Malraux","Malraux","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2499929941752 , -1.48381848684594]"
"887","verre","0.0",""," ","Place André Malraux","Malraux","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2500060258431 , -1.48383002537993]"
"888","verre","0.0",""," ","Rue de la Bournière","Bournière","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2543678730773 , -1.45843889501222]"
"889","verre","0.0",""," ","Rue de la Nobilière","Nobilière","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2541017684495 , -1.48182361032219]"
"890","verre","0.0",""," ","Rue de la Loire","Loire","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.245011293395 , -1.48416119252829]"
"891","verre","0.0",""," ","Allée Robert Cheval","Cheval","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2408043277241 , -1.46693539967018]"
