"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"11","Centre Socioculturel Bourderies","","12","Rue des Bourderies","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","RDV","17/01/2014","14:30","19:00","18/04/2014","14:30","19:00","26/09/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2067125842139 , -1.59582342337165]"
"120","Eglise Saint Augustin","","","Rue des Roches Grises","Nantes Erdre","Saint-Donatien","RDV","07/02/2014","14:30","19:00","23/05/2014","14:30","19:00","17/10/2014","14:30","19:00","","","","","44300","Nantes","[ 47.238645194009 , -1.54504959881403]"
"53","Place de la Bottière","","","Place de la Bottière","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","RDV","18/02/2014","14:30","19:00","17/06/2014","14:30","19:00","18/11/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2404395996232 , -1.51834930812782]"
"54","Rue de la Planche au Gué (à côté du multi accueil)","","3","Rue de la Planche au Gué","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","RDV","21/02/2014","14:30","19:00","20/06/2014","14:30","19:00","21/11/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2689928765624 , -1.52190435780587]"
"69","Angle Rue des Dervallières/Rue Octave Feuillet","","","Rue Octave Feuillet","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","25/03/2014","14:30","19:00","02/09/2014","14:30","19:00","09/12/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2205952970888 , -1.57339371320505]"
"70","Angle Boulevard Gaston Serpette/Boulevard des Anglais","","","Boulevard Gaston Serpette","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","28/03/2014","14:30","19:00","05/09/2014","14:30","19:00","12/12/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2288414804835 , -1.57551422401674]"
"94","19 rue du Paraguay","","19","Rue du Paraguay","Nantes Nord","Nantes Nord","RDV","04/04/2014","14:30","19:00","12/09/2014","14:30","19:00","19/12/2014","14:30","19:00","","","","","44300","Nantes","[ 47.2618224406621 , -1.56626305344391]"
"43","Angle Rue Emile Masson/Rue Fouré","","","Rue Emile Masson","Centre Ville","Centre-Ville","RDV","20/01/2014","14:30","19:00","22/04/2014","14:30","19:00","29/09/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2139678600975 , -1.54651886318017]"
"35","Piscine Léo Lagrange","","","Boulevard des Nations Unies","Centre Ville","Centre-Ville","RDV","22/01/2014","14:30","19:00","23/04/2014","14:30","19:00","01/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.209924940714 , -1.56107045739242]"
"36","Place du Bouffay","","","Place du Bouffay","Centre Ville","Centre-Ville","RDV","23/01/2014","14:30","19:00","24/04/2014","14:30","19:00","02/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2147674483194 , -1.55328591629599]"
