gml_id,gid,num_col,type,vol_col,proj_exist,rue
mmm_pav_existants.1336,1336,T,Textile,0,Existant,IMPASSE LOUISE MICHEL
mmm_pav_existants.1337,1337,T,Textile,0,Existant,Avenue de Vendargues
mmm_pav_existants.1338,1338,V846,Verre,0,Existant,RUE DES MICOCOULIERS
mmm_pav_existants.1339,1339,T,Textile,0,Existant,ROUTE DE BEAULIEU
mmm_pav_existants.1340,1340,T,Textile,0,Existant,ROUTE DE BEAULIEU
mmm_pav_existants.1341,1341,P077,Papier,0,Existant,RUE MAS D'ARMAND
mmm_pav_existants.1342,1342,P352,Papier,0,Existant,RUE DE LA GARDIOLE
mmm_pav_existants.1343,1343,T,Textile,0,Existant,AVENUE Saint Cecile
mmm_pav_existants.1344,1344,V577,Verre,0,Existant,ROND POINT RTE DE ST GEORGES
mmm_pav_existants.1345,1345,T,Textile,0,Existant,ROND POINT RTE DE ST GEORGES
mmm_pav_existants.1346,1346,V128,Verre,3,Existant,RUE JEAN FRANCOIS BRETON
mmm_pav_existants.1347,1347,V393,Verre,0,Existant,RUE DE LA FOND FROIDE
mmm_pav_existants.1348,1348,P198,Verre,0,Existant,RUE HENRI POITEVIN
mmm_pav_existants.1349,1349,P191,Papier,0,Existant,RUE HENRI POITEVIN
mmm_pav_existants.1350,1350,V930,Verre,0,Existant,RUE LOUIS BREGUET
mmm_pav_existants.1351,1351,T,Textile,0,Existant,RUE HENRI POITEVIN
mmm_pav_existants.1352,1352,V746,Verre,0,Existant,RUE DES ACACIAS
mmm_pav_existants.1353,1353,T,Textile,0,Existant,CHEMIN DU POUGET
mmm_pav_existants.1354,1354,T,Textile,3,Existant,RUE DE VENDARGUES
mmm_pav_existants.1355,1355,T,Textile,0,Existant,AVENUE DES APOLLONS
mmm_pav_existants.1356,1356,P119,Papier,0,Existant,RUE DE COUPOUYRAN
mmm_pav_existants.1357,1357,T,Textile,0,Existant,ROUTE DE SAINT GEORGES
mmm_pav_existants.1358,1358,T,Textile,30,Existant,ROUTE DE SAINT GEORGES
mmm_pav_existants.1359,1359,V565,Verre,0,Existant,AVENUE JEAN MONNET
mmm_pav_existants.1360,1360,P360,Papier,0,Existant,AVENUE JEAN MONNET
mmm_pav_existants.1361,1361,T,Textile,0,Existant,D21 E1
mmm_pav_existants.1362,1362,V346,Verre,3,Existant,Rue de Saint-hilaire
mmm_pav_existants.1363,1363,T,Textile,0,Existant,RUE DE LA GUESSE
mmm_pav_existants.1364,1364,T,Textile,0,Existant,RUE DE L'ARGILE
mmm_pav_existants.1365,1365,P177,Papier,0,Existant,RUE PIERRE DE SAINT ROCH
mmm_pav_existants.1366,1366,V044,Verre,0,Existant,AVENUE DE LA COOPERATIVE
mmm_pav_existants.1367,1367,P014,Papier,0,Existant,AVENUE DE LA COOPERATIVE
mmm_pav_existants.1368,1368,T,Textile,0,Existant,AVENUE DE NIMES
mmm_pav_existants.1369,1369,P219,Papier,0,Existant,CHEMIN DES PIERRES
mmm_pav_existants.1370,1370,P382,Papier,0,Existant,RUE DES PENITENTS
mmm_pav_existants.1371,1371,V638,Verre,0,Existant,RUE DES PENITENTS
mmm_pav_existants.1372,1372,V183,Verre,0,Existant,CHEMIN DES MAZES
mmm_pav_existants.1373,1373,V188,Verre,0,Existant,
mmm_pav_existants.1374,1374,V325,Verre,0,Existant,rue des chasseurs
mmm_pav_existants.1375,1375,V670,Verre,0,Existant,St jean de clapasse
mmm_pav_existants.1376,1376,V288,Verre,0,Existant,AVENUE DU MISTRAL
mmm_pav_existants.1377,1377,V867,Verre,0,Existant,Rue Jean moulin
mmm_pav_existants.1378,1378,V979,Verre,0,Existant,rue henry moynier
mmm_pav_existants.1379,1379,V976,Verre,0,Existant,mas du pont
mmm_pav_existants.1380,1380,V897,Verre,0,Existant,chemin de la qualité
mmm_pav_existants.1381,1381,V971,Verre,0,Existant,rue des terres noires
mmm_pav_existants.1382,1382,V972,Verre,0,Existant,cave coopérative
mmm_pav_existants.1383,1383,P451,Papier,0,Existant,Rue des bougainvilliers
mmm_pav_existants.1384,1384,V985,Verre,0,Existant,Déchetterie
mmm_pav_existants.1385,1385,P405,Papier,3,Existant,Chemin du fesquet
